#separator:tab
#html:false
#columns:Front	Back
数据运算｜整数除法 5/2 的值	2（截断取整，不是四舍五入）
数据运算｜取余 % 的操作数要求	两边必须都是整型
数据运算｜17 - 14 % 10 的值	13（% 优先级高于 -：14%10=4，17-4=13）
数据运算｜a++ 与 ++a 的区别	a++ 先用后变；++a 先变后用
数据运算｜逗号表达式 (a, b) 的值	最后一个表达式的值，即 b
数据运算｜关系表达式 10 != 9 的值	1（关系运算结果只有 1 或 0）
数据运算｜设 a=4，则 !a 的值	0（非零取反为 0）
数据运算｜字符常量 'A' 占几字节	1 字节（字符串常量 "A" 占 2 字节，含 \0）
数据运算｜标识符的命名规则	只能由字母、数字、下划线组成，不能以数字开头，不能用关键字
数据运算｜a > b > c 的含义	先算 (a>b) 得 0 或 1，再与 c 比较；不是数学连比
数据运算｜设 a=4,b=3,c=2，下列哪个为真：!a / b&&!c / a>b>c / a&&b||c	a&&b||c（其余三个都是 0）
数据运算｜下列哪个不是合法的 C 字符串常量：X / $ABC / "Horse" / ￥abc	"Horse" 才是合法的字符串常量（必须用双引号）

选择结构｜switch 语句 case 穿透	无 break 时会继续执行后续所有 case
选择结构｜switch 表达式允许的类型	整型或字符型，不能是浮点型
选择结构｜悬空 else 与哪个 if 配对	与最近的、未匹配的 if 配对
选择结构｜if(表达式) 中表达式可以是任意表达式吗	可以，非零即真，不限于逻辑表达式
选择结构｜逻辑短路规则	a&&b：a 为假则不算 b；a||b：a 为真则不算 b
选择结构｜if(a = 5) 是判断还是赋值	赋值，恒为真（除非赋 0）；判断应用 ==
选择结构｜设 s=75，switch(s/60) 匹配哪个 case	s/60 = 1（整数除法），匹配 case 1
选择结构｜在 if(表达式) 中，该表达式只能是逻辑表达式吗	错，可以是任意合法表达式

循环结构｜for(int i=1; i++<4; ); 的循环次数	3 次（i++ 先用后变）
循环结构｜for(int i=1; ++i<4; ); 的循环次数	2 次（++i 先变后用）
循环结构｜while(a<4) printf("%d", a++); 当 a=1 时输出	123
循环结构｜while(a<4) printf("%d", ++a); 当 a=1 时输出	234
循环结构｜while 循环只能通过 break 退出吗	错，条件不成立自然退出，return 也可退出
循环结构｜do-while 循环体至少执行几次	至少 1 次，先执行后判断
循环结构｜continue 的作用	跳过本次循环剩余语句，不终止整个循环
循环结构｜break 的作用	直接终止整个循环
循环结构｜for(;;) 是什么	无限循环（三个表达式全省略，条件恒为真）
循环结构｜双重循环 for(i<n) for(j<n) 的时间复杂度	O(n²)
循环结构｜循环累加时 sum 必须初始化为什么	0，否则是随机值
循环结构｜for(i=0;i<10;i++){if(i%3==0)continue;n++;} 后 n 的值	6（0、3、6、9 共 4 个被跳过）
循环结构｜1~5 累加的和	15

数组｜strlen 与 sizeof 的区别	strlen 不含 \0；sizeof 含 \0
数组｜char s[]="abc" 的 strlen(s) 与 sizeof(s)	strlen=3，sizeof=4
数组｜数组下标从几开始	从 0 开始
