Finally, that hard work ___ ___ and now the water in the river is cleaner than ever.<br><br>（努力工作终于有了回报）	<b>paid off</b> —— （努力 / 付出）得到回报、奏效
While there are amazing stories of ___ ___, for most of us the changes are gradual.<br><br>（瞬间的转变）	<b>instant transformation</b> —— 瞬间的转变<br><br>instant 立即的 / transformation 转变
For most of us the changes are ___ and require a lot of effort and work.<br><br>（逐渐的）	<b>gradual</b> —— 逐渐的、渐进的<br><br>副词形式：gradually
It took years of work to reduce the ___ pollution.<br><br>（工业的）	<b>industrial</b> —— 工业的<br><br>名词形式：industry 工业
It took years of work to reduce the industrial ___.<br><br>（污染）	<b>pollution</b> —— 污染
The river wasn’t changed in a few days ___ even a few months.<br><br>（甚至）	<b>even</b> —— 甚至（加强"连……也"的语气）
In 1969, the pollution was ___ along the Cuyahoga River.<br><br>（糟糕的）	<b>terrible</b> —— 糟糕的、可怕的
... the pollution was terrible ___ the Cuyahoga River.<br><br>（沿着）	<b>along</b> —— 沿着（介词，顺着一条线）<br><br>⚠️ 不是"相伴" —— 它只表示位置，没有"一起"的意思
It was ___ that it could ever be cleaned up.<br><br>（无法想象的）	<b>unimaginable</b> —— 无法想象的<br><br>拆开记：un-（不）+ imagine（想象）+ -able（能……的）
The river was so polluted that it actually ___ ___ and burned.<br><br>（起火）	<b>caught fire</b> —— 起火、着火<br><br>catch 的过去式是 <b>caught</b>（不是 catched）
Maybe you are ___ an impossible situation.<br><br>（面对）	<b>facing</b> —— 面对（face 的现在分词）<br><br>be + doing = 进行时：正在面对
Maybe you are facing an ___ ___.<br><br>（棘手的困境）	<b>impossible situation</b> —— 无法解决的处境、棘手的困境
... don't know how to control your ___ ___ use.<br><br>（信用卡）	<b>credit card</b> —— 信用卡
While there are ___ ___ of instant transformation...<br><br>（精彩的故事）	<b>amazing stories</b> —— 精彩的故事、令人惊叹的故事
... the changes are gradual and ___ a lot of effort and work.<br><br>（需要）	<b>require</b> —— 需要、要求
